target,model,alpha,beta,alpha_beta_sum,lengthscale,sigma2,noise,lml,map,rmse,edge_rmse,interior_rmse,left_edge_rmse,right_edge_rmse,prior_sd_left,prior_sd_right,prior_sd_centre
ramp_right,jacobi Legendre (space fixed),0.0,0.0,0.0,1.4224122188867419,0.399519116070362,0.0011444120334599833,107.2209408164563,107.14768266690088,0.0035588530751705337,0.0009766123052530754,0.003939474495428707,0.0007637777188416667,0.0004667045907752385,0.6597658043514764,0.6597658043514764,0.4518339807123691
ramp_right,jacobi MAP space (alpha,beta learned),1.3681241310935688,-0.8713673337136336,0.49675679737993517,1.2317992134344917,0.11858395846818187,0.0011481620670538539,109.48312591019624,108.3462143444813,0.003905534845972315,0.0037188624840398445,0.003994240470595241,0.003108742913519232,0.005665945835338636,0.08282402701438775,0.5631437085170067,0.22046609120349506
ramp_right,jacobi mirrored (wrong space),-0.8713673337136336,1.3681241310935688,0.49675679737993517,1.8601598933004286,10.568219377573753,0.0011395175816382656,105.79980652787106,104.66289496215612,0.0035666475871372247,0.0009882113641387523,0.003945302207810535,0.0003998327745871659,0.0002350642957089722,2.6715330370316814,0.7597006541955229,1.4081210753038809
ramp_right,jacobi mirrored, scale frozen (LR test),-0.8713673337136336,1.3681241310935688,0.49675679737993517,0.8028080823339199,0.11858395846818187,0.0011481620670538539,62.099248474831306,60.962336909116374,0.0808409869696778,0.19613273159549138,0.020500534065833322,0.06545666241083867,0.3878144487004138,1.2224634916915367,0.08589746894451222,0.27580373314641776
ramp_right,RBF-GP (no space parameters),-,-,-,2.003920257705413,1.2042143536410896,0.0011551344397396127,105.83362164587132,nan,0.00876170049268763,0.018772141042040415,0.00497971266526891,0.0027620907947414498,0.03688668772048673,nan,nan,nan
ramp_left,jacobi Legendre (space fixed),0.0,0.0,0.0,1.4223699246937238,0.399804694236869,0.0011443323645194017,107.22153749387581,107.14827934432039,0.0036199934241579585,0.0011874056791129266,0.003990475652791511,0.0002361344922398822,0.0007950004596180286,0.6600147526721193,0.6600147526721193,0.4519966026386369
ramp_left,jacobi MAP space (alpha,beta learned),-0.8608850767923817,1.3166237833138936,0.45573870652151194,1.2449309420048005,0.12649728208105382,0.0011470166689879118,109.38518331405112,108.32087286954392,0.003881340617535256,0.003530785676395117,0.004026065207246462,0.0048259857270319855,0.0047185323379524404,0.5684358876240698,0.09086391080479334,0.22685460920559675
ramp_left,jacobi mirrored (wrong space),1.3166237833138936,-0.8608850767923817,0.45573870652151194,1.8434016151996877,9.368141847489573,0.0011395091357690058,105.83961964117049,104.77530919666329,0.00362870430639974,0.0013454232100554469,0.003988278475570039,3.0659778304329974e-05,0.001247455702373959,0.7589591332516625,2.5681352170628866,1.358173770479048
ramp_left,jacobi mirrored, scale frozen (LR test),1.3166237833138936,-0.8608850767923817,0.45573870652151194,0.8086747599214511,0.12649728208105382,0.0011470166689879118,62.54745680150463,61.48314635699744,0.048917948242523365,0.1199112310922053,0.01268536391513025,0.2466755300886175,0.049445476596914326,0.09455107052336707,1.2222314737260496,0.2839784381353039
ramp_left,RBF-GP (no space parameters),-,-,-,2.0244590710278314,1.3312957907171195,0.0011544250804646735,105.71659159862884,nan,0.0069074323150076075,0.01319983143067143,0.004951813143600723,0.02626672145138247,0.004772976172863502,nan,nan,nan
