target,prior_sd,N,spectrum,edge,M,data_noise,seed,alpha,beta,gain,rmse,clamp,legendre_clamp,broke
ramp_right,0.75,30,se,0.85,60,0.001,3,-0.13339067357332712,-0.4140405445175651,0.17681548175852413,0.003558441375009063,0.00022087336733402974,0.0004667045907752385,False
ramp_right,1.0,30,se,0.85,60,0.001,3,0.04511664569849527,-0.5046070229668991,0.4412067428076796,0.0035614002658002383,0.00010776636362297822,0.0004667045907752385,False
ramp_right,1.5,30,se,0.85,60,0.001,3,0.6676117390603828,-0.7303868475607227,1.341915984371866,0.0036688818365120347,0.0016157243803572355,0.0004667045907752385,False
ramp_right,2.0,30,se,0.85,60,0.001,3,1.3681241310935688,-0.8713673337136336,2.26218509373993,0.003905534845972315,0.003108742913519232,0.0004667045907752385,False
ramp_right,3.0,30,se,0.85,60,0.001,3,2.3600836604796536,-0.9558596464356788,3.2346172354724274,0.004088158443704248,0.0030856890128644608,0.0004667045907752385,False
ramp_right,4.0,30,se,0.85,60,0.001,3,3.074532297554832,-0.9770839993634874,3.652993459933981,0.004101619411948167,0.0022143670777789643,0.0004667045907752385,False
steep_right,0.75,30,se,0.85,60,0.001,3,0.8693660390391547,-0.5589340859264934,5.306217684248253,0.09135021851673987,0.0028527252432033003,0.018751203421283676,False
steep_right,1.0,30,se,0.85,60,0.001,3,1.6563080424080017,-0.6027821823579975,7.946929107439445,0.08122192878367329,0.00034847201878946646,0.018751203421283676,False
steep_right,1.5,30,se,0.85,60,0.001,3,2.6238491475585435,-0.6465898591037191,10.153697130052876,0.07814527393836401,6.132942925924915e-05,0.018751203421283676,False
steep_right,2.0,30,se,0.85,60,0.001,3,3.2055324197581783,-0.6707410286873592,10.959626906469083,0.07469138157676397,1.9280679119727005e-05,0.018751203421283676,False
steep_right,3.0,30,se,0.85,60,0.001,3,3.9620224868004286,-0.7070045208037931,11.575679084956931,0.07129071860985745,5.070603608317904e-06,0.018751203421283676,False
steep_right,4.0,30,se,0.85,60,0.001,3,4.49398994975735,-0.744051158919413,11.825528016293788,0.07140102814290439,2.8468843834350683e-06,0.018751203421283676,False
vanishing,0.75,30,se,0.85,60,0.001,3,-0.4185666661639307,-0.4648543873815184,1.1110187903491635,0.01949699629196184,0.00036729595144949695,0.00235696008329252,False
vanishing,1.0,30,se,0.85,60,0.001,3,-0.48289492467995077,-0.5402202361365891,1.2838044927522958,0.01957180714491324,0.0002489672972481444,0.00235696008329252,False
vanishing,1.5,30,se,0.85,60,0.001,3,-0.6011131116504846,-0.6648715964992247,1.5784362476605622,0.019635985189682917,0.0003412470190468757,0.00235696008329252,False
vanishing,2.0,30,se,0.85,60,0.001,3,-0.690391549414767,-0.7509520859243582,1.7874298588273234,0.01962401361479087,0.00042738465264742693,0.00235696008329252,False
vanishing,3.0,30,se,0.85,60,0.001,3,-0.8003771759525996,-0.8491294581622923,2.03170741132476,0.019556248508437766,0.00042512330860129823,0.00235696008329252,False
vanishing,4.0,30,se,0.85,60,0.001,3,-0.860181097860844,-0.8986942926225048,2.15826005192406,0.019502930280187618,0.00036438744742580174,0.00235696008329252,False
ramp_right,2.0,16,se,0.85,60,0.001,3,1.3681241310935288,-0.8713673337137018,2.2621850937422323,0.0039055348459718113,0.0031087429135122084,0.0004667045907787531,False
ramp_right,2.0,24,se,0.85,60,0.001,3,1.368124131093495,-0.8713673337136528,2.2621850937431986,0.003905534845971862,0.003108742913513764,0.00046670459077961395,False
ramp_right,2.0,32,se,0.85,60,0.001,3,1.3681241310934893,-0.8713673337136552,2.262185093739845,0.0039055348459719136,0.0031087429135144475,0.0004667045907773459,False
ramp_right,2.0,48,se,0.85,60,0.001,3,1.36812413109342,-0.8713673337136262,2.262185093739504,0.0039055348459721426,0.0031087429135195233,0.0004667045907765136,False
ramp_right,2.0,64,se,0.85,60,0.001,3,1.3681241310934893,-0.8713673337136552,2.262185093739845,0.0039055348459719136,0.00310874291351445,0.0004667045907773709,False
steep_right,2.0,16,se,0.85,60,0.001,3,3.3963433415262223,-0.6615840973483001,11.087785913833983,0.6674897952755965,3.47611013319077e-05,0.019144158855187977,False
steep_right,2.0,24,se,0.85,60,0.001,3,3.2064193641517917,-0.6708459991660538,10.962278237596621,0.07524191282844352,1.9254316161549725e-05,0.018751206337283246,False
steep_right,2.0,32,se,0.85,60,0.001,3,3.20553429714454,-0.6707411902282734,10.95962874790132,0.07469934032826528,1.928041512364499e-05,0.01875120342139169,False
steep_right,2.0,48,se,0.85,60,0.001,3,3.205534359250186,-0.6707411187578595,10.959628228478607,0.07469664169553082,1.9280483579806077e-05,0.018751203421364958,False
