set,alpha,beta,sample_min,sample_max,edge_sd,centre_sd,edge_over_centre,edge_crossing_frac,trace_K,participation_dim,mean|f|_edge,mean|f|_centre,edge_consistency
1  Legendre   (0,0),0.0,0.0,-4.405309306334676,5.2239629896302615,1.9427371916234855,1.1112231860071857,1.748287127272849,0.0,3.0066282746310007,3.977996551264813,1.403800850331795,0.8551879513702553,0.9195356238278961
2  symmetric  (2,2),2.0,2.0,-23.993766036712028,24.492102256158663,7.627761723950388,2.0932961825228356,3.6438998874767106,0.0,3.0066282746310007,3.977996551264813,5.262752607978052,1.5562184096151161,0.9912230716521049
3  asymmetric (5,0),5.0,0.0,-114.29276310700683,124.07062803974507,20.82713602368456,4.0022344780999655,5.203877018612888,0.0,3.0066282746310007,3.977996551264813,17.63769021436359,3.1005996395863473,1.1717632147762618
4  Dirichlet (-0.5,-0.5),-0.5,-0.5,-2.3873121652690807,2.910053646899143,1.0966823658262665,0.8990943578234639,1.2197633722016958,0.0,3.0066282746310007,3.977996551264813,0.8142484626035768,0.6970348820945593,0.9204627623524195
