N,u_rmse,d1_analytic_rmse,d1_fd_h0.1_rmse,d1_fd_h0.03_rmse,d1_fd_h0.01_rmse,d1_fd_h0.003_rmse,d1_fd_h0.001_rmse,d1_fd_h0.0001_rmse,d1_fd_h1e-05_rmse,d1_fd_h1e-06_rmse,d2_analytic_rmse,d2_interior_rmse,d2_edge_rmse,ode_residual_rel,d1_zscore_mean,d1_coverage95
8,0.0823568272554328,1.3322305509938661,0.8600614904302986,0.9942904364634718,1.1720127467307342,1.272023195578535,1.2718183689108762,1.2717930495599388,1.2717927963903575,1.2717927939172724,31.915057839349632,10.762899290625734,95.69845700893738,1.3316761491168663,58.64521578863201,0.013311147689819336
12,0.0013712306655972353,0.03819081071417012,0.3009674006942913,0.03367837003803776,0.028429925271419243,0.03401633908707804,0.03399247080470145,0.033989662964482234,0.033989635049070537,0.033989634749621724,2.044154268438693,0.4320022782677704,6.338183127757,0.08529364095461453,2.823242802934287,0.3044925034046173
16,0.0006870300903087652,0.015733389013695524,0.30037672564939555,0.02708678570394174,0.011353321576110527,0.013737080973596019,0.01375151428664008,0.013753607425748118,0.013753628698751137,0.01375362890085273,1.0305142768951399,0.16454165540651466,3.223845411442764,0.04299886563807766,1.3596086270489824,0.7071547508239746
20,0.0007033202331558929,0.01698583182210424,0.3003455086692701,0.027437725864527755,0.012534602346771685,0.014973135440778912,0.014987978138383283,0.014990111340937196,0.014990133002893759,0.01499013320645597,1.1028465720925957,0.2238187084303211,3.4250968672475066,0.046016976800845814,0.9734621991834511,0.8352745175361633
25,0.0007133880529995776,0.019027921789165198,0.30034182759151357,0.027671379887463682,0.012775836874544795,0.01567821616511809,0.015622013051612234,0.01561543492748018,0.015615369567378294,0.0156153689051984,1.7247907526337134,0.2874981961952731,5.390114898635632,0.07196799451410459,0.6840961501025105,0.9667221307754517
30,0.0007655565873247876,0.028966186297673138,0.30036392842170206,0.02862969514422704,0.015448065894320911,0.02014760034912735,0.019869773316182813,0.01983688609274914,0.01983655889302973,0.019836555605947968,4.8318101392001696,0.4468486869825102,15.23327302527127,0.20161036059601364,0.767149790818376,0.9700499176979065
40,0.0007803132019574107,0.037691138055958286,0.30038098756581877,0.02902617303534098,0.0170753271841056,0.023114271521892313,0.022649022181782427,0.022596866186855094,0.022596350650005575,0.02259634548333052,8.740492632085633,0.5380194066135433,27.61567265801357,0.3647026312240996,0.47924485104206466,1.0
50,0.0008311046183567501,0.04599823044200055,0.30036930176076804,0.030195307069188226,0.024707546583806198,0.032658359475705764,0.033951200371111344,0.03413999982229493,0.03414191436638076,0.0341419335107465,22.76368082069199,1.3364620079573601,71.93318510491832,0.9498291047321603,0.5296081316087843,1.0
RBF-GP,0.0005933707183427348,nan,0.3004031231035156,0.02605269480959476,0.006571630277647566,0.0072349948107212625,0.007296141975929214,0.0073042405001836706,0.007304318377548537,0.007304354155410663,nan,,,nan,nan,nan
