J,N,bayes_u_rmse,bayes_resid_rel,bayes_bc_left,bayes_bc_right,bayes_u1_rmse,bayes_z,bayes_cov,bayes_max,point_u_rmse,point_resid_rel,fd_u_rmse,det_u_rmse,det_cond,fdrows_u_rmse,fdrows_resid_rel
12,16,0.00017970221538595412,0.005579878809628761,2.0952388301272645e-16,7.463745958272535e-17,0.0032707715345928912,2.0494005641666497,0.6891385912895203,0.0003587714309392087,0.0006871263202134047,0.04225936897198642,0.039774849275555156,0.016757735116083597,14231.321932525747,0.003046124792034255,0.018178118001496366
16,20,7.104044674538351e-05,0.0006949431725762664,1.6266904140063527e-16,2.7804630128816384e-17,0.0010296697275809698,0.4835559714850003,1.0,0.000147105819681137,0.0007034706708767245,0.04518496310892873,0.022205029505086744,0.005139009550595964,47888.99881945771,0.004326886743456582,0.05112338934837837
24,28,5.19016177229944e-05,0.00047631992142302924,3.267354599365581e-16,1.9187427073163252e-16,0.0007468043201246879,0.41075572236070973,1.0,0.00010905672338445971,0.0007465487807162996,0.14696090296024675,0.009929185312259359,0.003692557524596103,281530.9618343851,0.02635808626765197,0.012210669431918472
32,36,4.290169046174113e-05,0.0003940169141540773,8.849128487285589e-17,4.636823514914312e-17,0.0006200156103757912,0.3814335187208149,1.0,9.06369601318957e-05,0.0007735334549636421,0.3526160147166574,0.005615710165550502,0.0028135366359685055,1030161.3448837646,0.0236511864998545,0.010448405694962382
48,52,3.362924230878571e-05,0.00031505123084294486,1.9919851699065338e-16,6.434004522412154e-17,0.0004917585219298371,0.35345652637708436,1.0,7.138398984130045e-05,0.000876386876378296,2.366138353784384,0.0025225388866362873,0.0019033808992667562,6726801.520441979,0.016602928132348475,0.01071227475544457
64,68,2.887514754678138e-05,0.00027718494266815445,4.2952507609478274e-16,2.946673244162599e-16,0.0004271142390917762,0.3449320266510758,1.0,6.138603580230217e-05,0.0009890257551363863,3.488434806036689,0.0014293953596287356,0.0014372537870536565,26183506.60474433,0.012507811486133846,0.008063254503680301
96,100,2.406622185782734e-05,0.00024140991374868204,2.456617054280236e-16,1.1080411991769894e-16,0.00036280956059258046,0.3540315062824083,1.0,5.0911212422177776e-05,0.0010104563313511603,1.2519289979408565,0.0006398077019117178,0.0009641679042183449,183153220.46936315,0.008621284113126845,0.005298520127296077
